"Week","Task","Module","Owner","Priority","Dependency","Deliverable","Acceptance Criteria"
"1","Confirm corrected agreement package","Legal/Commercial","Client/Project Lead","Critical","agreement.txt corrected","Signed-ready agreement source","All final signing docs show CAD 10500 with no old amount or currency wording"
"1","Confirm main approver and backup approver","Project Management","Client","Critical","None","Approver record","Approver and backup approver confirmed in writing"
"1","Create project communication channel","Project Management","Client/Project Lead","High","Approver confirmation","Active channel","Client decision makers and dev lead added"
"1","Create project repository","DevOps","Dev Team","High","Repo decision","Repository created","Access rules and branch strategy documented"
"1","Create project board","Project Management","Project Lead","High","Tool selection","Board created","Columns and Week 1-4 tasks loaded"
"1","Approve development standards","Project Governance","Client/Dev Team","Critical","DEVELOPMENT_STANDARDS.md","Standards approval","Dev team confirms standards are mandatory"
"1","Finalize module scope matrix","Scope","Business Analyst","High","ai.txt agreement.txt plan.txt","Scope matrix v1","Each module mapped to owner week dependency and acceptance"
"1","Prepare architecture document","Architecture","Solution Architect","High","Approved stack","Architecture v1","Architecture accepted for Week 2 gate"
"1","Prepare architecture diagram","Architecture","Solution Architect","High","Architecture doc","Diagram v1","Diagram shows web backend mobile AI DB queue storage integrations"
"1","Prepare ERD draft","Database","Database Lead","High","Scope matrix","ERD v1","Entities ownership fields audit fields and indexes covered"
"1","Prepare RBAC permission matrix","Security/RBAC","Backend Lead","High","Roles list","RBAC v1","Permission keys mapped to roles and conditions"
"1","Prepare API module map","API","Backend Lead","High","RBAC and ERD","API map v1","Routes permissions audit behavior and ownership notes listed"
"1","Prepare UI sitemap","UI/UX","UX Lead","High","Scope matrix","Sitemap v1","Admin employee client partner mobile routes mapped"
"1","Prepare design system starter","UI/UX","Frontend Lead","High","Brand direction","Design starter","Tokens components statuses and theme rules documented"
"1","Prepare DevOps staging plan","DevOps","DevOps Lead","High","Hosting decision pending","Staging plan","Local staging production strategy and provider decisions listed"
"1","Collect client business inputs","Business Setup","Client/Project Lead","Critical","Missing input tracker","Completed input tracker","Services countries departments employees statuses checklist templates gathered or marked pending"
"2","Initialize monorepo or approved repo structure","DevOps","Dev Team","High","Repository created","Repo skeleton","Apps packages config and README created"
"2","Initialize NestJS backend foundation","Backend","Backend Lead","High","Architecture approved","Backend shell","Backend runs locally with strict TypeScript lint env config"
"2","Initialize Next.js web foundation","Frontend","Frontend Lead","High","Design starter","Web shell","AppShell login route theme setup and route groups created"
"2","Initialize Prisma/PostgreSQL schema foundation","Database","Backend/Database Lead","High","ERD approved","Initial migration","Auth RBAC organization lead/client/case base schema migrates cleanly"
"2","Implement auth baseline","Backend","Backend Lead","High","DB foundation","Auth APIs","Login logout refresh me password reset skeleton works"
"2","Implement RBAC guard foundation","Security/RBAC","Backend Lead","Critical","RBAC approved","Permission guard","Protected endpoints enforce permission keys server-side"
"2","Implement ownership guard foundation","Security/RBAC","Backend Lead","Critical","RBAC and DB schema","Ownership guard","Assigned/department/client/partner isolation tested"
