"ID","Risk Or Blocker","Category","Impact","Probability","Owner","Due Week","Mitigation Or Required Action","Status"
"R-001","agreement.docx and agreement.pdf may still contain old amount or currency wording","Legal/Commercial","Critical","High","Client/Project Lead","Week 1","Regenerate DOCX/PDF from corrected agreement.txt before signing or external sharing","Open"
"R-002","Payment schedule not formally confirmed in signed agreement","Legal/Commercial","High","Medium","Client","Week 1","Confirm CAD 2000/2000/2000/2500/2000 schedule in writing","Open"
"R-003","Main approver not confirmed","Project Management","High","Medium","Client","Week 1","Name one main approver and one backup approver for scope UAT and change decisions","Open"
"R-004","Communication channel not created","Project Management","Medium","Medium","Project Lead","Week 1","Create WhatsApp/Slack/Teams channel with client approver and dev lead","Open"
"R-005","Repository and project board not created in external tool","Project Management","High","Medium","Dev Team/Project Lead","Week 1","Create repo and import backlog CSV into chosen project board","Open"
"R-006","Client services and target countries not finalized","Business Setup","High","High","Client","Week 1","Approve initial seed list or provide final list","Open"
"R-007","Department and employee list missing","Business Setup","High","High","Client","Week 1","Provide employee name email phone department role and access level","Open"
"R-008","Lead case document payment statuses not finalized","Workflow","High","Medium","Client/Operations","Week 1","Approve status lists and transition rules before schema coding","Open"
"R-009","Document requirements by service/country missing","Documents","High","High","Client/Documentation Lead","Week 1","Provide checklist by visa/service and target country","Open"
"R-010","Invoice receipt installment and refund rules not finalized","Finance","High","Medium","Client/Finance Lead","Week 1","Provide numbering format payment methods installment rules refund approval rules","Open"
"R-011","Meta Business Manager and WhatsApp Business access may delay WhatsApp automation","Integrations","High","High","Client","Week 5","Start Meta access preparation early and build mock provider until access is ready","Open"
"R-012","WhatsApp template approval is external and not guaranteed","Integrations","Medium","High","Client/Dev Team","Week 7","Use approved fallback manual messaging and submit templates early","Open"
"R-013","SIP/telephony provider not selected for recordable AI calls","Integrations","Medium","Medium","Client","Week 8","Confirm provider and consent policy before call recording/transcription work","Open"
"R-014","AI/OCR provider account not selected","AI","Medium","Medium","Client/Dev Team","Week 6","Choose provider and budget; build provider abstraction and mock pipeline first","Open"
"R-015","Firebase app store accounts not ready for Flutter release","Mobile","Medium","Medium","Client","Week 9","Create Firebase Google Play Console and Apple Developer access early","Open"
"R-016","Privacy policy and consent documents not ready before go-live","Compliance","High","Medium","Client/Legal","Before Go-Live","Prepare privacy policy WhatsApp opt-in call recording employee monitoring and AI disclaimer","Open"
"R-017","Scope creep from Phase 2 advanced features","Scope","High","Medium","Client/Project Lead","All Weeks","Keep Phase 2 basic only; use written change requests for advanced ERP MDM payroll biometric or endpoint control","Open"
"R-018","Design system skipped and screens become inconsistent","Frontend","High","Medium","Frontend Lead","Week 2","Build shared tokens AppShell DataTable StatusBadge states before full feature screens","Open"
"R-019","Backend RBAC or ownership checks implemented late","Security","Critical","Medium","Backend Lead","Week 2","Implement permission and ownership guards before feature APIs","Open"
"R-020","Public document URLs accidentally used","Security/Documents","Critical","Low","Backend/DevOps","Week 2","Use private object storage and signed URL service only","Open"
"R-021","Audit logs and activity timeline are confused or merged","Audit/Timeline","Medium","Medium","Backend Lead","Week 2","Keep immutable audit logs separate from readable activity timeline events","Open"
"R-022","Slow AI/OCR work blocks request-response APIs","AI/Performance","High","Medium","Backend/AI Lead","Week 4","Run AI OCR transcription summaries through Redis/BullMQ jobs only","Open"
"R-023","Staging environment delayed","DevOps","High","Medium","DevOps Lead","Week 2","Choose hosting provider and deploy skeleton early","Open"
"R-024","No backup or restore test before production","DevOps","High","Medium","DevOps Lead","Before Go-Live","Configure daily backup and perform restore test before production launch","Open"
"R-025","UAT feedback arrives without clear reproduction steps","QA/UAT","Medium","Medium","QA Lead/Client","Milestones","Use UAT bug format with role screen record ID steps expected actual screenshot/video","Open"
