"Permission Key","Area","Description","Super Admin","Admin/Manager","Sales/Consultant","Documentation","Processing","Finance","Support","Marketing","Client","Partner/Referral","Conditions/Notes"
"auth.login","Auth","Login to assigned portal","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","All active users only"
"auth.logout","Auth","Logout current session","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","Audit logout where practical"
"auth.password_reset","Auth","Request or complete password reset","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","Rate limit and audit suspicious activity"
"users.view","Users","View employee and user accounts","yes","yes","no","no","no","no","no","no","no","no","Admin scoped by branch where applicable"
"users.create","Users","Create employee or portal account","yes","yes","no","no","no","no","no","no","no","no","Audit user creation"
"users.update","Users","Update employee or portal account","yes","yes","no","no","no","no","no","no","own_profile","own_profile","Clients and partners can update safe profile fields only"
"users.deactivate","Users","Deactivate account","yes","yes","no","no","no","no","no","no","no","no","Cannot deactivate last super admin"
"roles.view","RBAC","View roles and permissions","yes","yes","no","no","no","no","no","no","no","no","Audit access to role screens if exported"
"roles.manage","RBAC","Create update delete roles and permission mappings","yes","limited","no","no","no","no","no","no","no","no","Super admin owns final control"
"settings.manage","Settings","Manage global settings services countries statuses templates","yes","limited","no","no","no","no","no","limited","no","no","Marketing may manage content templates only if approved"
"branches.manage","Organization","Manage branches departments designations","yes","yes","no","no","no","no","no","no","no","no","Audit every change"
"leads.view_all","Leads","View all leads","yes","yes","no","no","no","no","limited","limited","no","no","Marketing/support limited by approved screens"
"leads.view_assigned","Leads","View assigned leads","yes","yes","yes","department","department","no","yes","yes","no","no","Backend checks assignment department branch"
"leads.create","Leads","Create manual lead","yes","yes","yes","no","no","no","yes","yes","no","yes","Partner can create referral lead only"
"leads.update","Leads","Update lead details and status","yes","yes","assigned","no","no","no","assigned","limited","no","own_referral_limited","Status transition rules required"
"leads.assign","Leads","Assign or reassign leads","yes","yes","no","no","no","no","no","no","no","no","Audit reassignment old and new owner"
"leads.convert","Leads","Convert lead to client and case","yes","yes","assigned","no","no","no","no","no","no","no","Requires lead status and duplicate checks"
"leads.reject","Leads","Reject or close lead","yes","yes","assigned","no","no","no","assigned","no","no","no","Requires reason and audit"
"leads.export","Leads","Export lead data","yes","yes","no","no","no","no","no","limited","no","no","Audit export log required"
"clients.view_all","Clients","View all clients","yes","yes","no","no","no","no","no","no","no","no","Admin scoped by branch if enabled"
"clients.view_assigned","Clients","View assigned or department permitted clients","yes","yes","yes","yes","yes","yes","yes","limited","no","no","Backend ownership check required"
"clients.view_own","Clients","View own client portal profile","no","no","no","no","no","no","no","no","yes","no","Client isolation required"
"clients.update","Clients","Update client profile fields","yes","yes","assigned_limited","department_limited","department_limited","finance_limited","support_limited","no","own_safe_fields","no","Sensitive fields require audit"
"clients.timeline.view","Timeline","View activity timeline","yes","yes","assigned","department","department","finance_related","support_related","no","own_visible_events","own_referral_limited","Do not expose internal audit details to client/partner"
"cases.view_all","Cases","View all case records","yes","yes","no","no","no","no","no","no","no","no","Admin reporting only"
"cases.view_assigned","Cases","View assigned or department case queue","yes","yes","assigned","department","department","finance_related","support_related","no","no","limited_referral_status","Backend checks department and ownership"
"cases.update_status","Cases","Update case status or stage","yes","yes","no","department_limited","department","no","no","no","no","no","Status transition rules required"
"cases.handover","Cases","Handover case between departments","yes","yes","assigned","department","department","no","no","no","no","no","Requires reason notes and audit"
"cases.escalate","Cases","Escalate case issue","yes","yes","assigned","department","department","finance_related","support_related","no","no","no","Audit and notify manager"
"documents.upload","Documents","Upload client document","yes","yes","assigned_on_behalf","department_on_behalf","department_on_behalf","finance_related","support_related","no","own","no","Private storage only"
